url,title,content
https://minister.dva.gov.au/news-and-media/minister/honouring-our-korean-war-veterans-75-years,Honouring our Korean War Veterans 75 years on,"As we commemorate 75 years since Australia's involvement in the Korean War, we reflect on the service and sacrifice of our Korean veterans.
In the early hours of 25 June 1950, the North Korean People’s Army (KPA) crossed the border at the 38th parallel and advanced with incredible speed to capture the Korean peninsula capital, Seoul, within three days.
The United Nations (UN) Security Council called on its members to provide assistance to the South, and 22 member nations answered the call.
Australia was the second nation, after the United States, to commit personnel from all three armed services to the war. Australian personnel from Navy, Army and Air Force were posted to both Korea and the support base in Japan.
On 1 July, HMAS Shoalhaven became the first Australian unit to see active service in the war when it escorted US troop ships to Pusan. The next day, No. 77 Squadron of the Royal Australian Air Force (RAAF) flew their first combat mission over Korea.
In September, the 3rd Battalion, Royal Australian Regiment (3RAR) joined the war effort, engaging in successive battles, including the fierce Battle of Kapyong where they fought off a large Chinese force trying to break through to advance on Seoul.
In the years following, thousands of additional Australian personnel from all three services took part in the war effort.
While direct conflict ended with the signing of an armistice on 27 July 1953, Australian forces remained in South Korea until 1957 when the United Nations Command was satisfied the ceasefire would hold.
Today, Australia remains a member of United Nations Command and continues to provide peacekeepers.
75 years on, we remember the more than 18,000 Australian personnel who served in Korea and those who paid the ultimate price.
We remember the wounded, those taken prisoner and the more than 40 who are missing in action, presumed dead.
We thank all those who have participated in peacekeeping efforts in the years since.
The Korean War is sometimes called the forgotten war.
To all of Australia’s Korean War veterans and their families; we commit as a nation to remember.
We say thank you for the sacrifices you made in our name.
We thank you for the way you turned out to help the people of a nation so thoroughly and illegally invaded by a belligerent neighbour.
We honour your mates who never came home and the heartache of their families who continue to mourn 75 years on.
We thank you for your service.
Lest we forget.
Media contact
Stephanie Mathews (Minister Keogh’s Office):
0407 034 485
DVA Media:
media.team@dva.gov.au
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
https://minister.dva.gov.au/news-and-media/minister/nominations-open-2025-prime-ministers-national-veteran-employment-awards,Nominations open for the 2025 Prime Minister's National Veteran Employment Awards,"Nominations are now open for the 2025 Prime Minister’s National Veteran Employment Awards, a national celebration of veterans, partners and employers who are shaping the future of veteran employment across Australia.
Now in their eighth year, the Awards continue to highlight the significant contribution Australian veterans and families make to the civilian workforce, recognising those who are opening doors, creating opportunity and helping veterans and partners in their civilian careers.
For 2025, new categories have been introduced to reflect the expanding veteran employment landscape and the innovation driving it. These include:
Champion of Veteran Employment
– Recognising individuals, organisations or collaborations that have demonstrated outstanding leadership and advocacy in veteran employment.
Best Veteran Employment Commitment Initiative
– Celebrating initiatives delivered by organisations that have joined the Veteran Employment Commitment and are delivering excellence in employment opportunities and outcomes for veterans and partners.
Best Regional Veteran Employment Initiative
– Recognising individuals, organisations or collaborations making a difference for veteran and partner employees across regional and remote Australian communities.
These new categories reflect the momentum we’re seeing across the country, as more and more organisations embrace veteran employment, these awards acknowledge emerging leaders and seek to inspire others to take action.
They complement the existing categories of Veteran Employee of the Year, Partner Employee of the Year, Veteran and/or Partner Entrepreneur of the Year, Small Employer of the Year, Medium Employer of the Year and Large Employer of the Year.
The Awards are just one way the Albanese Government’s Veteran Employment Program (VEP) continues to promote veteran employment.
Nominations close 25 July 2025
To learn more or submit a nomination, visit:
www.veteransemployment.gov.au/awards
.
Media contact
Stephanie Mathews (Minister Keogh’s Office):
0407 034 485
DVA Media:
media.team@dva.gov.au
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
https://minister.dva.gov.au/news-and-media/minister/opening-soon-saluting-their-service-grants-program,Opening soon: Saluting their Service Grants Program,"The Albanese Labor Government is making $3.5 million available to honour the service and sacrifice of Australia’s veterans through the first round of the 2025-26 Saluting Their Service Commemorative Grants Program.
Ex-service and community organisations will have the opportunity to apply for funding to support the delivery of locally and nationally significant projects that commemorate Australia’s proud military history, and ensure veterans’ legacy of heroism and service is never forgotten.
Previous grant recipients include a wide-variety of commemorative projects, including feature-length documentaries, physical memorials, and books focusing on the lesser-known stories of local veterans.
As time marches on, it’s more important than ever that we safeguard the legacy of our veterans and families, who answered the call to serve when our nation needed them.
Grants will be available across two categories – Community Grants (up to $10,000) and Major Grants (between $10,001 and $150,000).
With this year marking several significant anniversaries in Australia’s military history, including the 80th anniversary of Victory in the Pacific Day and the 110th anniversary of Australia’s Gallipoli Campaign, there’s no better time to apply for funding.
Applications open Monday, 31 March 2025. To find out more or apply, visit the
DVA website
.
Media contact
Stephanie Mathews (Minister Keogh’s Office):
0407 034 485
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
https://minister.dva.gov.au/news-and-media/minister/more-150000-veterans-and-families-receive-financial-boost,"More than 150,000 veterans and families to receive a financial boost","More than 150,000 Australians receiving support through the Department of Veterans’ Affairs will soon have more money in their pockets with the latest round of indexation increasing payment rates this week.
Veteran Pensions, including the Service Pension, Disability Compensation Payment (including above General Rate), War Widow(er)’s Pension and Income Support Supplement will all increase on 20 March.
This additional cash boost would be at risk under Peter Dutton, with regular indexation part of the Coalition’s $350 billion of cuts.
Since the Albanese Labor Government came to office in 2022, we’ve been passing on indexation.
As a result, from 20 March 2025, a veteran receiving the Disability Compensation Payment (Special Rate), known as the Totally and Permanently Incapacitated (TPI) Payment, has seen their payment increase by more than $7,630 per year compared to 2022.
Single people on the veteran payment will receive an increased fortnightly payment of $1,247.30 – this will see single veteran payment recipients more than $4,300 per year better off since Labor came to office.
These increases reflect the Albanese Labor Government’s determination to help Australians with cost-of-living pressures – unlike Peter Dutton who will slash these payments.
The complete list of veteran payments increasing on 20 March 2025, including income and asset limits, can be found here -
Summary of pension rates, limits and allowances | Department of Veterans' Affairs
Media contact
Stephanie Mathews (Minister Keogh’s Office):
0407 034 485
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
https://minister.dva.gov.au/news-and-media/minister/honouring-their-service-remembering-their-sacrifice,"Honouring their service, remembering their sacrifice","Thirty-six organisations across Australia will share in more than $575,000 of funding under Batch 2 of the 2024-25 Saluting Their Service Commemorative Grants Program.
The funding will support 30 community-based projects and six major initiatives, all aimed at commemorating the service and sacrifice of Australia’s veterans and families and promoting and preserving Australia’s wartime heritage.
These grants are not just about preserving history – they’re about strengthening the bind between local communities and the legacy of our veteran community.
The 30 community grants will help fund initiatives such as installing flagpoles to proudly fly our nation’s flags, establishing gardens for moments of quiet reflection, and creating commemorative murals that encourage people to learn the stories of their local communities.
The six major grants will support larger-scale efforts, such as significant memorial refurbishments, museum exhibits, and archival projects that showcase the rich history of Australia’s wartime heritage.
The diverse submissions reflected the many stories of Australia’s service personnel, and the communities committed to preserving their legacy.
The 36 projects share a common goal: to ensure veterans’ and families’ stories are shared and continue to resonate with Australians of all ages.
Since its inception, the grant program has funded projects across the nation, enabling communities to honour their veterans in innovative and lasting ways.
Grant funding of $3.5 million is being offered in 2024-25 financial year across two categories – Community Grants (up to $10,000) and Major Grants (between $10,001 and $150,000).
A full list of Batch 2 recipients is listed in the below.
Batch 3 applications closed on 5 February 2025, with the outcome expected to be announced later this year.
For more information, visit the
DVA website
.
2024-25 Saluting Their Service Commemorative Grants Program (Batch 2) recipients
New South Wales
Recipient
Funding description
Amount
Appin War Memorial NSW Inc.
This project is to install a new Appin War Memorial including three pillars, with silhouettes of service personnel alongside the rising sun badge and poem excerpts from ‘In Flanders Fields'.
$10,000.00
Edmund Rice Education Australia Flexible Schools Ltd
This project is to install a flagpole and landscaping of a memorial garden at the college.
$4,000.00
Gloucester Sub-Branch, RSL Australia (NSW Branch)
This project is to add an additional plaque, commemorating the service of people during the Cold War, to the existing Gloucester Memorial Park.
$4,918.00
Keith Payne VC Veterans Benefit Group
This project is to create an art exhibit of the 42 Australian service personnel awarded the United States Silver Star to be showcased at two galleries in Shoalhaven.
$10,000.00
Lane Cove Municipal Council
This project is to relocate the Lane Cove cenotaph to allow the local community to use it during commemorative events.
$10,000.00
Merriwa RSL Sub-Branch
This project is to install three benches of remembrance, including ANZAC style laser cut designs, at the Merriwa RSL Memorial Garden.
$9,890.00
Port Botany Operations Pty Ltd
This project is to construct a memorial dedicated to the Merchant Navy at Molineux Point, Port Botany.
$11,200.00
Returned and Services League of Australia (NSW Branch)
This project is to commemorate the 80th anniversary of Victory in the Pacific Day at The Cenotaph, Martin Place, Sydney.
$3,543.00
Trustees of the Roman Catholic Church for the Diocese of Maitland-Newcastle trading as the Diocese of Maitland-Newcastle Catholic Schools Office
This project is to install three flagpoles at St Brigid's Primary School.
$2,000.00
Wagga Wagga City Council
This project is to complete remediation of the Wagga Wagga Honor Roll and Eternal Flame at the Victory Memorial Gardens.
$147,425.00
SUB TOTAL
$212,976.00
Northern Territory
Recipient
Funding description
Amount
The Royal Australian Artillery Association (NT) Inc.
This project is to refurbish five artillery public display pieces at the Darwin Military Museum and install further educational information for visitors.
$9,500.00
SUB TOTAL
$9,500.00
Queensland
Recipient
Funding description
Amount
Dulacca Pioneers Memorial Halland Progress Assoc Inc.
This project is to complete restoration work on the Dulacca War Memorial.
$10,000.00
Glenwood State School
This project is to install four flagpoles, a memorial garden and a memorial wall with signage at Glenwood State School.
$9,800.00
Queensland Rugby Union Ltd
This project is to construct a memorial garden with three flagpoles for national flags and a plaque with the names of all Queensland representative rugby union players who have served in wartime, including the 11 who were killed in action.
$10,000.00
Redlynch State College
This project is to paint a commemorative mural on a prominent wall in the Redlynch State College.
$5,000.00
The Returned and Services League of Australia (Qld Branch) Salisbury Sub-Branch Inc.
This project is to update the Salisbury RSL Memorial Park cenotaph garden beds and restore the park signage.
$9,000.00
SUB TOTAL
$43,800.00
South Australia
Recipient
Funding description
Amount
Parrakie War Memorial Hall Inc.
This project is to replace a flagpole and update a memorial plaque at the Parrakie War Memorial Hall.
$7,070.00
Loxton Community Heritage Group Inc.
This project is to publish a revised, updated and coloured edition of the ‘Street Names of Loxton’. The book tells the story of the street names in Loxton that have a military background.
$8,943.00
Returned and Services League Murray Bridge Sub-Branch and Bowling Club Inc.
This project is to create a commemorative 'Pathway of Honour' as an extension to the memorial at Murray Bridge.
$73,500.00
Returned and Services League (Coonawarra-Penola Sub-Branch) Inc.
This project is to paint a mural on a street-facing wall of the Coonawarra-Penola RSL building.
$5,940.00
Returned and Services League (Macclesfield Sub-Branch) Inc.
The project is to restore the Macclesfield War Memorial which celebrates its 100th anniversary in 2025.
$2,420.00
SUB TOTAL
$97,873.00
Tasmania
Recipient
Funding description
Amount
Launceston Church Grammar School
This project is to install the 'Memorial Legacy Garden' at the Launceston Church Grammer School.
$10,000.00
Launceston RSL Sub-Branch Inc.
This project is to install bench seating, including a laser cut poppy design, near the Launceston Cenotaph in Royal Park.
$4,700.00
SUB TOTAL
$14,700.00
Victoria
Recipient
Funding description
Amount
Arthurs Creek Primary School
This project is to install three flagpoles at Arthurs Creek Primary School.
$2,000.00
Ballan Shire Historical Society Inc.
This project is to develop a new memorial which includes installation of two flag poles, and the installation of interpretive boards, as part of a larger site development project.
$10,000.00
Bendigo District RSL Sub-Branch Inc.
This project is to add an interactive experience to the Bendigo Military Museum.
$136,340.00
Fitzroy High School
This project is to install three flagpoles at Fitzroy High School.
$2,000.00
Hillview Bunyip Aged Care Inc.
This project is to install two flagpoles at Hillview Bunyip Aged Care.
$2,000.00
Northcote Primary School
This project is to install four flagpoles at Northcote Primary School as part of the school-funded landscaping works.
$1,818.00
Nullawil Historical Society Inc.
This project is to preserve and frame three flags flown in the region during World War One.
$1,263.64
Numurkah RSL Sub-Branch Inc.
This project is to restore the commemorative mural in Numurkah depicting local service persons from the Boer War to the Afghanistan War.
$10,000.00
Roxburgh Rise Primary School
This project is to install two flagpoles and build a commemorative garden including an Australian soldier statue with 'LEST WE FORGET' engraved at its base.
$7,000.00
St Thomas the Apostle Primary School
This project is to install a flagpole at St Thomas the Apostle Primary School.
$2,000.00
Upwey Belgrave RSL Sub-Branch Inc.
This project is to install an additional panel on the Honour Wall at Upwey Belgrave RSL, with the names of veteran members who have passed away.
$4,607.28
SUB TOTAL
$179,028.92
Western Australia
Recipient
Funding description
Amount
Returned and Services League Nannup Sub-Branch
This project is to restore the wooden plinths with galvanised steel at Nannup Avenue of Honour.
$7,843.00
Returned and Services League of Australia, WA Branch Inc.
This project is to restore and relocate the Bellevue Cenotaph.
$10,000.00
SUB TOTAL
$17,843.00
TOTAL - ALL STATES
$575,720.92
Media contact
Stephanie Mathews (Minister Keogh’s Office):
0407 034 485
DVA Media:
media.team@dva.gov.au
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
https://minister.dva.gov.au/news-and-media/minister/funding-now-available-support-veteran-advocacy,Funding now available to support veteran advocacy,"Ex-service organisations (ESOs) can now apply for a share in over $4.8 million through the Albanese Government’s Building Excellence in Support and Training (BEST) Grants Program.
This funding will help ESOs to advocate for veterans and their families as well as assist with their entitlements and compensation claims.
The Program is part of our commitment to ensuring veterans have easy access to qualified advocates who can work with them to navigate the claims process, and receive the support they need faster.
Funding delivered through the BEST grants program can be used by ESOs for staff salaries as well as administrative costs associated with the delivery of advocacy services, such as purchasing office equipment and domestic travel.
This program follows the passage of the VETS Act to simplify and harmonise Australia’s veteran compensation system, making it faster and easier to understand for veterans, families and advocates.
Applications for the 2025-26 BEST Grants round are open now, and will close at 9.00 pm AEDT on 28 April 2025. For more information about the program, including information on how to apply, visit the
Grants website
.
Media contact
Stephanie Mathews (Minister Keogh’s Office):
0407 034 485
DVA Media:
media.team@dva.gov.au
Media Note:
Learn more about the BEST Grants Program on the
DVA website
.
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
https://minister.dva.gov.au/news-and-media/minister/building-leadership-skills-defence-and-veteran-spouses,Building leadership skills for defence and veteran spouses,"The Australian Government is continuing to support our valued defence and veteran families, with applications now open for a leadership development program designed for spouses.
The Women in Leadership Development program will be delivered by the Families of Veterans Guild and support its new “Rise Together Initiative”, which aims to build the career confidence of defence and veteran partners. The program will empower defence and veteran spouses to kickstart their leadership journey with tailored support, including workshops and coaching.
The program was launched this morning in Canberra by the Minister for Women, Senator the Hon Katy Gallagher and Renee Wilson, the CEO of the Families of Veterans Guild, alongside defence and veteran families.
The Families of Veterans Guild is a not-for-profit organisation that provides the defence and veteran family community with a voice, facilitates access to services and entitlements, and supports social and emotional wellbeing.
The organisation has received $92,000 to deliver the Women in Leadership Development program from the Department of Veterans’ Affairs Veteran Wellbeing Grants Program.
Defence and veteran spouses can apply for the program through the Families of Veterans Guild website.
Quotes attributable to Minister Gallagher:
“Defence and veteran spouses are resilient, adaptable and resourceful – all vital leadership skills,
“However, being part of a defence family often means spouses’ careers take a back seat. This program is an important opportunity for women to build the skills and confidence to take the next steps in their careers.”
Quotes attributable to Minister Keogh:
“The sacrifices families make to support ADF members play a crucial role in protecting our nation’s security, but too often go unrecognised.
“Our Government is proud to support initiatives like this to support Defence partner employment as well as the Veteran Employment Program, in recognition of the sacrifice of these spouses from supporting their partners’ service to our nation.”
Media contact
Stephanie Mathews (Minister Keogh’s Office):
0407 034 485
DVA Media:
media.team@dva.gov.au
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
https://minister.dva.gov.au/news-and-media/minister/works-commence-greenslopes-paving-way-new-legacy-house,"Works commence at Greenslopes, paving the way for new Legacy House","A brand new Legacy House in Brisbane’s south is one step closer, with construction now underway at the former Australian Red Cross Centre site in Greenslopes.
Legacy House, right next door to Greenslopes Private Hospital, will be home to Legacy Queensland and will feature a Hub for both veterans and families, as they continue their mission of supporting the whole family unit.
The Albanese Government’s $1.5 million investment in Legacy House demonstrates how seriously we take supporting the whole family unit in order to better connect veterans to the assistance they need, when they need it.
It’s fantastic to see this project kick off following significant remediation of the site over the last few years.
Legacy House will complement our Veterans’ and Families’ Hub network, with a more holistic approach to veteran and family care, connecting medical and mental health services with advocacy and community supports in a coordinated way.
The Greenslopes site is of great military significance, previously home to the Australian Red Cross Centre as they provided critical support to countless veterans’ and their families after the Second World War.
This important history will be celebrated by preserving some architectural features into the design of Legacy House.
I’m so glad we’ve been able to ensure the significance of this historic site continues, working with the Queensland State Government, Brisbane City council and many generous businesses and individuals from across Queensland.
Media contact
Stephanie Mathews (Minister Keogh’s Office):
0407 034 485
DVA Media:
media.team@dva.gov.au
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
https://minister.dva.gov.au/news-and-media/minister/recognition-and-respect-their-final-resting-place,Recognition and respect at their final resting place,"For more than a century Australians have worked tirelessly to commemorate the stories of those who have served our nation, and those who have made the ultimate sacrifice.
Around 270,000 Australians returned home after serving in the First World War. Many were later laid to rest without a grave marker that declared their service.
The Albanese Government can today announce almost $107,000 in funding has been allocated to nine organisations to mark the graves of 182 First World War veterans under the 2024-25 round of the Marking (First World War) Private Graves Grants Program.
The program was developed to ensure First World War veterans who lie in ‘unmarked’ graves receive the respect and recognition that they deserve.
Successful applicants will receive a one-off funding contribution of up to $620 per grave to install a commemoration, such as a new plaque or grave marker, to recognise First World War service personnel who returned home and passed away of causes unrelated to their war service.
These commemorations honour the service and sacrifice of First World War veterans in their final resting place.
It is an honour to support the work of groups and individuals across Australia who are committed to ensuring the bravery and sacrifice of our nation’s First World War veterans is remembered—and that their legacy endures.
Through this round of the Marking (First World War) Private Graves Grants Program, an additional 143 veterans were deemed eligible for official War Grave status and commemoration by the Repatriation Commission. Their service will be recognised with a Commonwealth War Grave commemoration installed at the site of interment, paid for and maintained in perpetuity by the Australian Government.
See the below for the full list of grant recipients:
Grantee
State
Cemetery
Number of private grave markers
Funding approved
Forgotten Diggers Inc
NSW
Goulburn General Cemetery
1
$620
Macquarie Park Cemetery
1
$620
Sandgate Cemetery
18
$11,160
Woronora Memorial Park
1
$620
Individual grantee
NSW
Casino Lawn Cemetery
1
$620
Australian Remembrance Army
QLD
Lutwyche Cemetery
84
$46,864
Individual grantee
QLD
Gympie Cemetery
1
$620
Longreach Archival & Historical Research Group Inc
QLD
Longreach Cemetery
2
$594.90
Friends of Toowong Cemetery
QLD
Toowong Cemetery
42
$26,040
The Headstone Project (SA) Inc
SA
Kadina Cemetery
2
$1,240
Wallaroo Cemetery
1
$620
Peterborough Cemetery
6
$3,720
Balaklava Cemetery
1
$620
Kersbrook Cemetery
1
$620
Tailem Bend Cemetery
1
$620
Macclesfield Cemetery
1
$620
Hawker Cemetery
1
$620
Coromandel Valley Cemetery
1
$620
Caltowie Cemetery
1
$620
Currency Creek Cemetery
1
$620
Terowie Cemetery
1
$620
Clare Cemetery
2
$1,240
Quorn Cemetery
1
$620
The Headstone Project (TAS) Inc
TAS
Queenstown Lyell
7
$4,340
The Headstone Project Victoria Inc
VIC
Queenscliff Cemetery
2
$1,240
Warringal Cemetery
1
$620
Total
182
$106,978.90
Media contact
Stephanie Mathews (Minister Keogh’s Office):
0407 034 485
DVA Media:
media.team@dva.gov.au
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
https://minister.dva.gov.au/news-and-media/minister/enduring-spirit-celebrated-invictus-games-closing-ceremony,Enduring spirit celebrated at Invictus Games closing ceremony,"Once again Team Australia has done us proud on the world stage, inspiring the nation throughout the week long Invictus Games in Vancouver, Canada.
The Invictus Games is an international, adaptive multi-sports competition for current and former serving military personnel who have been wounded, injured or become ill during their military service.
Over the past week, the 33 Team Australia members competed in both individual and team sports, including alpine skiing, snowboarding, indoor rowing, biathlon, nordic skiing, sitting volleyball, skeleton, swimming, wheelchair basketball, wheelchair curling and wheelchair rugby.
Our competitors pushed themselves to new limits, celebrating personal bests and making clear that they’re not defined by their injuries.
The Australian team is supported by the Australian Defence Force and Invictus Australia.
The next Invictus Games will be held in Birmingham, United Kingdom in 2027.
Media note
Competitor biographies are online at
www.defence.gov.au/invictusgames
Imagery of the Closing Ceremony is available at
https://images.defence.gov.au/S20250281
Media contact
Stephanie Mathews (Minister Keogh’s Office): 0407 034 485
DVA Media:
media.team@dva.gov.au
SQNLDR Amanda Scott (Head of Public Affairs, Team Australia): +61 422 608 291
Open Arms – Veterans & Families Counselling
provides 24/7 free confidential crisis support for current and ex-serving ADF personnel and their families on
1800 011 046
or the
Open Arms website
.
Safe Zone Support
provides anonymous counselling on
1800 142 072
.
Defence All-Hours Support Line
provides support for ADF personnel on
1800 628 036
or the
Defence Health Portal
.
Defence Member and Family Helpline
provides support for Defence families on
1800 624 608"
