user_name,timestamp,text,emojis,comments,reposts,likes,image_link,tweet_url
Aust War Memorial@AWMemorial·May 17,2025-05-17T00:00:39.000Z,"Learn about the fascinating events leading to the end of the Second World War in the current issue of WM. 

WM features historical insights, compelling personal stories from veterans, and goes behind-the-scenes at the Memorial. 

Subscribe today: http://shop.awm.gov.au",,0,0,0,,https://x.com/AWMemorial/status/1923529056189911211
Aust War Memorial@AWMemorial·May 10,2025-05-10T05:00:28.000Z,"Historian Dr Kristen Alexander is visiting to discuss her book 'Kriegies: The Australian Airmen of Stalag Luft III', sharing the experiences of the 345 Australian airmen incarcerated at the POW Camp. 

When: Wednesday, 14 May 2025 @ 12.30pm
More info: https://trybooking.com/events/landing/1389553…",,0,0,0,https://pbs.twimg.com/media/GqkA-lcXIAAPiif?format=jpg&name=small,https://x.com/AWMemorial/status/1921067793111232931
Aust War Memorial@AWMemorial·Mar 31,2025-03-31T05:15:22.000Z,"In the Last Post Ceremony for 31 March 2025, we remember and pay tribute to Flight Lieutenant Mel Joseph Quinn and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GnWEy5CWwAE2ep2?format=jpg&name=small,https://x.com/AWMemorial/status/1906576029897937324
Aust War Memorial@AWMemorial·Mar 30,2025-03-30T05:15:52.000Z,"In the Last Post Ceremony for 30 March 2025, we remember and pay tribute to Lance Corporal Frank Robert Symons and his service in the First World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GnQ7UdUW8AAJQh8?format=jpg&name=small,https://x.com/AWMemorial/status/1906213767177757076
Aust War Memorial@AWMemorial·Mar 29,2025-03-29T05:15:52.000Z,"In the Last Post Ceremony for 29 March 2025, we remember and pay tribute to Pilot Officer Samuel Whiteside and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GnLxuqMW8AAUK0S?format=jpg&name=small,https://x.com/AWMemorial/status/1905851378427133996
Aust War Memorial@AWMemorial·Mar 28,2025-03-28T05:15:12.000Z,"In the Last Post Ceremony for 28 March 2025, we remember and pay tribute to Driver Christian Freeman Hansen and his service in the First World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GnGn_NQW0AAGPbW?format=jpg&name=small,https://x.com/AWMemorial/status/1905488824001589406
Aust War Memorial@AWMemorial·Mar 27,2025-03-27T05:15:52.000Z,"In the Last Post Ceremony for 27 March 2025, we remember and pay tribute to Corporal Claude Thomas Redman and his service in the First World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GnBejLbXQAAtu95?format=jpg&name=small,https://x.com/AWMemorial/status/1905126602981114233
Aust War Memorial@AWMemorial·Mar 26,2025-03-26T05:15:12.000Z,"In the Last Post Ceremony for 26 March 2025, we remember and pay tribute to Flight Sergeant Robert Magnay Howell and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/Gm8UzuqXAAAgI-O?format=jpg&name=small,https://x.com/AWMemorial/status/1904764048865935624
Aust War Memorial@AWMemorial·Mar 25,2025-03-25T05:15:42.000Z,"In the Last Post Ceremony for 25 March 2025, we remember and pay tribute to Second Lieutenant Colin Edmund Alleyne Chalmers and his service in the First World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/Gm3LVUlawAEaY_h?format=jpg&name=small,https://x.com/AWMemorial/status/1904401787383169202
Aust War Memorial@AWMemorial·Mar 24,2025-03-24T05:15:13.000Z,"In the Last Post Ceremony for 24 March 2025, we remember and pay tribute to Private William Bourne and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GmyBoUSaAAA8nc1?format=jpg&name=small,https://x.com/AWMemorial/status/1904039274695315542
Aust War Memorial@AWMemorial·Mar 23,2025-03-23T05:15:52.000Z,"In the Last Post Ceremony for 23 March 2025, we remember and pay tribute to Private Milton Alfred Warner and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/Gms4ML2WEAEjXdO?format=jpg&name=small,https://x.com/AWMemorial/status/1903677051850092552
Aust War Memorial@AWMemorial·Mar 22,2025-03-22T05:15:32.000Z,"In the Last Post Ceremony for 22 March 2025, we remember and pay tribute to Private Joseph Noall Box and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GmnuhqOaQAAGSoW?format=jpg&name=small,https://x.com/AWMemorial/status/1903314582304854102
Aust War Memorial@AWMemorial·Mar 21,2025-03-21T05:15:12.000Z,"In the Last Post Ceremony for 21 March 2025, we remember and pay tribute to Pilot Officer William Alexander Graham and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/Gmik2_HXcAAt64U?format=jpg&name=small,https://x.com/AWMemorial/status/1902952109688881422
Aust War Memorial@AWMemorial·Mar 20,2025-03-20T05:15:42.000Z,"In the Last Post Ceremony for 20 March 2025, we remember and pay tribute to Flight Sergeant John Lane Brosnan and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GmdbYmQa8AATNXB?format=jpg&name=small,https://x.com/AWMemorial/status/1902589848680329494
Aust War Memorial@AWMemorial·Mar 19,2025-03-19T05:15:22.000Z,"In the Last Post Ceremony for 19 March 2025, we remember and pay tribute to Private William Charles Jones and his service in the First World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GmYRt_va8AAzX0p?format=jpg&name=small,https://x.com/AWMemorial/status/1902227376769265966
Aust War Memorial@AWMemorial·Mar 18,2025-03-18T05:15:42.000Z,"In the Last Post Ceremony for 18 March 2025, we remember and pay tribute to Private Edward Tregarthen Abell and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GmTIND_bQAAnMN-?format=jpg&name=small,https://x.com/AWMemorial/status/1901865071761817706
Aust War Memorial@AWMemorial·Mar 17,2025-03-17T05:15:22.000Z,"In the Last Post Ceremony for 17 March 2025, we remember and pay tribute to Private Arthur James Dein and his service in the First  World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GmN-ibAbAAAotTO?format=jpg&name=small,https://x.com/AWMemorial/status/1901502599880208535
Aust War Memorial@AWMemorial·Mar 16,2025-03-16T05:15:42.000Z,"In the Last Post Ceremony for 16 March 2025, we remember and pay tribute to Flight Sergeant Robert Haydon Malcolm and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GmI1Bf5WQAAJCyK?format=jpg&name=small,https://x.com/AWMemorial/status/1901140295099498806
Aust War Memorial@AWMemorial·Mar 15,2025-03-15T05:15:12.000Z,"In the Last Post Ceremony for 15 March 2025, we remember and pay tribute to Flight Lieutenant Roland Reginald Cowan and his service in the Second World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/GmDrUcTXsAAI0yI?format=jpg&name=small,https://x.com/AWMemorial/status/1900777782365536708
Aust War Memorial@AWMemorial·Mar 14,2025-03-14T05:15:42.000Z,"In the Last Post Ceremony for 14 March 2025, we remember and pay tribute to Air Mechanic Leo Thomas Williams and his service in the First World War. A recording of this ceremony is available: http://youtube.com/@AWMLastPost/streams…",,0,0,0,https://pbs.twimg.com/media/Gl-h2CtWQAAfoPk?format=jpg&name=small,https://x.com/AWMemorial/status/1900415519838048682
